title,inception,movement,genre,image_url
Predella of the Barbadori altarpiece,1438-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Predella%20Pala%20Barbadori-%20Uffizi.JPG
Judith,1525-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg
Judith,1528-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%20il%20Vecchio%20-%20Judith%20-%20WGA16936.jpg
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
Christi Abschied von seiner Mutter,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
The capture of Christ,1536-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg
Madonna/Virgin and Child with the Infant St John the Baptist.,1500-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Palmezzano%20Madonna%20and%20Child.jpg
Sant'Orsola in gloria,1520-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Orsola%20in%20gloria%20Previtali.jpg
Portrait of Eleanor of Austria,1530-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20Eleanor%20of%20Austria.jpg
Portrait of Eleanor of Austria,1530-01-01T00:00:00Z,Renaissance,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20Eleanor%20of%20Austria.jpg
Saint Dominic,1565-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Dominikus%20von%20Tizian.jpg
Saint Dominic,1565-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Dominikus%20von%20Tizian.jpg
Nursing Madonna,1470-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%2C%20Mare%20de%20D%C3%A9u%20de%20la%20Llet%2C%20Museu%20de%20Belles%20Arts%20de%20Val%C3%A8ncia.jpg
Saint John the Baptist,1470-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20st.Joan%20Baptista%20desert%204104.jpg
Christ of the Mercy,1475-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20de%20la%20Pietat%204106.jpg
Death and Assumption of the Virgin Mary,1472-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Mort%20Assumpci%C3%B3%20Maria%204105.jpg
Entry to the Paradise and vision of the Crucified,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20guiant%20patriarques%20Parad%C3%ADs%204108.jpg
ascension,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bermejo%20casa%20Amatller%20RI-51-0004199%204561.jpg
altarpiece of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20hipotesi%204165.jpg
Sainte Engratia,1474-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Engratia.JPG
The Arrest of Santa Engracia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
Imprisonment of Sainte Engratia,1477-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20empresonament%204161.jpg
